idDistrito,idCaton,nombreDistrito
40902,409,RINCON DE SABANILLA
41001,410,PUERTO VIEJO
41002,410,LA VIRGEN
41003,410,HORQUETAS
41004,410,LLANURAS DEL GASPAR
41005,410,CURE A
50101,501,LIBERIA
50102,501,CA AS DULCES
50103,501,MAYORGA
50104,501,NACASCOLO
50105,501,CURUBANDE
50201,502,NICOYA
50202,502,MANSION
50203,502,SAN ANTONIO
50204,502,QUEBRADA HONDA
50205,502,SAMARA
50206,502,NOSARA
50207,502,BELEN DE NOSARITA
50301,503,SANTA CRUZ
50302,503,BOLSON
50303,503,VEINTISIETE DE ABRIL
50304,503,TEMPATE
50305,503,CARTAGENA
50306,503,CUAJINIQUIL
50307,503,DIRIA
50308,503,CABO VELAS
50309,503,TAMARINDO
50401,504,BAGACES
50402,504,FORTUNA
50403,504,MOGOTE
50404,504,RIO NARANJO
50501,505,FILADELFIA
50502,505,PALMIRA
50503,505,SARDINAL
50504,505,BELEN
50601,506,CA AS
50602,506,PALMIRA
50603,506,SAN MIGUEL
50604,506,BEBEDERO
50605,506,POROZAL
50701,507,JUNTAS
50702,507,SIERRA
50703,507,SAN JUAN
50704,507,COLORADO
50801,508,TILARAN
50802,508,QUEBRADA GRANDE
50803,508,TRONADORA
50804,508,SANTA ROSA
50805,508,LIBANO
50806,508,TIERRAS MORENAS
50807,508,ARENAL
50901,509,CARMONA
50902,509,SANTA RITA
50903,509,ZAPOTAL
50904,509,SAN PABLO
50905,509,PORVENIR
50906,509,BEJUCO
51001,510,LA CRUZ
51002,510,SANTA CECILIA
51003,510,GARITA
51004,510,SANTA ELENA
51101,511,HOJANCHA
51102,511,MONTE ROMO
51103,511,PUERTO CARRILLO
51104,511,HUACAS
60101,601,PUNTARENAS
60102,601,PITAHAYA
60103,601,CHOMES
60104,601,LEPANTO
60105,601,PAQUERA
60106,601,MANZANILLO
60107,601,GUACIMAL
60108,601,BARRANCA
60109,601,MONTE VERDE
60110,601,ISLA DEL COCO
60111,601,COBANO
60112,601,CHACARITA
60113,601,CHIRA
60114,601,ACAPULCO
60115,601,EL ROBLE
60116,601,ARANCIBIA
60201,602,ESPIRITU SANTO
60202,602,SAN JUAN GRANDE
60203,602,MACACONA
60204,602,SAN RAFAEL
60205,602,SAN JERONIMO
60301,603,BUENOS AIRES
60302,603,VOLCAN
60303,603,POTRERO GRANDE
60304,603,BORUCA
60305,603,PILAS
60306,603,COLINAS
60307,603,CHANGENA
60308,603,BRIOLLEY
60309,603,BRUNKA
60401,604,MIRAMAR
60402,604,LA UNION
60403,604,SAN ISIDRO
60501,605,PUERTO CORTES
60502,605,PALMAR
60503,605,SIERPE
60504,605,BAHIA BALLENA
60505,605,PIEDRAS BLANCAS
60601,606,QUEPOS
60602,606,SAVEGRE
60603,606,NARANJITO
60701,607,GOLFITO
60702,607,PUERTO JIMENEZ
60703,607,GUAYCARA
60704,607,PAVON
60801,608,SAN VITO
60802,608,SABALITO
60803,608,AGUABUENA
60804,608,LIMONCITO
60805,608,PITTIER
60901,609,PARRITA
61001,610,CORREDOR
61002,610,LA CUESTA
61003,610,CANOAS
61004,610,LAUREL
61101,611,JACO
61102,611,TARCOLES
70101,701,LIMON
70102,701,VALLE LA ESTRELLA
70103,701,RIO BLANCO
70104,701,MATAMA
70201,702,GUAPILES
70202,702,JIMENEZ
70203,702,RITA
70204,702,ROXANA
70205,702,CARIARI
70206,702,COLORADO
70301,703,SIQUIRRES
70302,703,PACUARITO
70303,703,FLORIDA
70304,703,GERMANIA
70305,703,CAIRO
70306,703,ALEGRIA
70401,704,BRATSI
70402,704,SIXAOLA
70403,704,CAHUITA
70404,704,TELIRE
70501,705,MATINA
70502,705,BATTAN
70503,705,CARRANDI
70601,706,GUACIMO
70602,706,MERCEDES
70603,706,POCORA
70604,706,RIO JIMENEZ
70605,706,DUACARI
