idCanton,idProvincia,NombreCanton
101,1,SAN JOSE
102,1,ESCAZU
103,1,DESAMPARADOS
104,1,PURISCAL
105,1,TARRAZU
106,1,ASERRI
107,1,MORA
108,1,GOICOECHEA
109,1,SANTA ANA
110,1,ALAJUELITA
111,1,VAZQUEZ DE CORONADO
112,1,ACOSTA
113,1,TIBAS
114,1,MORAVIA
115,1,MONTES DE OCA
116,1,TURRUBARES
117,1,DOTA
118,1,CURRIDABAT
119,1,PEREZ ZELEDON
120,1,LEON CORTES CASTRO
201,2,ALAJUELA
202,2,SAN RAMON
203,2,GRECIA
204,2,SAN MATEO
205,2,ATENAS
206,2,NARANJO
207,2,PALMARES
208,2,POAS
209,2,OROTINA
210,2,SAN CARLOS
211,2,ZARCERO
212,2,VALVERDE VEGA
213,2,UPALA
214,2,LOS CHILES
215,2,GUATUSO
301,3,CARTAGO
302,3,PARAISO
303,3,LA UNION
304,3,JIMENEZ
305,3,TURRIALBA
306,3,ALVARADO
307,3,OREAMUNO
308,3,EL GUARCO
401,4,HEREDIA
402,4,BARVA
403,4,SANTO DOMINGO
404,4,SANTA BARBARA
405,4,SAN RAFAEL
406,4,SAN ISIDRO
407,4,BELEN
408,4,FLORES
409,4,SAN PABLO
410,4,SARAPIQUI
501,5,LIBERIA
502,5,NICOYA
503,5,SANTA CRUZ
504,5,BAGACES
505,5,CARRILLO
506,5,CAÑAS
507,5,ABANGARES
508,5,TILARAN
509,5,NANDAYURE
510,5,LA CRUZ
511,5,HOJANCHA
601,6,PUNTARENAS
602,6,ESPARZA
603,6,BUENOS AIRES
604,6,MONTES DE ORO
605,6,OSA
606,6,QUEPOS
607,6,GOLFITO
608,6,COTO BRUS
609,6,PARRITA
610,6,CORREDORES
611,6,GARABITO
701,7,LIMON
702,7,POCOCI
703,7,SIQUIRRES
704,7,TALAMANCA
705,7,MATINA
706,7,GUACIMO
